Delivery Day,Hours,"Prices
(EUR/MWh)"
10/2/2020,H22,35.51
10/2/2020,H23,34
10/2/2020,H24,32.92
10/3/2020,H1,40.57
10/3/2020,H2,44.96
10/3/2020,H3,52.32
10/3/2020,H4,68.8
10/3/2020,H5,69.89
10/3/2020,H6,68.84
10/3/2020,H7,63.01
10/3/2020,H8,58.63
10/3/2020,H9,56.08
10/3/2020,H10,55.01
10/3/2020,H11,52.09
10/3/2020,H12,57.01
10/3/2020,H13,62.15
10/3/2020,H14,63.01
10/3/2020,H15,69.21
10/3/2020,H16,68.85
10/3/2020,H17,61.96
10/3/2020,H18,56.08
10/3/2020,H19,47.92
10/3/2020,H20,44.99
10/3/2020,H21,42.76
10/3/2020,H22,43.08
10/3/2020,H23,38.89
10/3/2020,H24,35.17
10/4/2020,H1,12.93
10/4/2020,H2,16.98
10/4/2020,H3,26.81
10/4/2020,H4,39.25
10/4/2020,H5,45.44
10/4/2020,H6,45.03
10/4/2020,H7,40.3
10/4/2020,H8,36.89
10/4/2020,H9,37.5
10/4/2020,H10,36.09
10/4/2020,H11,35.82
10/4/2020,H12,35.91
10/4/2020,H13,40.57
10/4/2020,H14,47.03
10/4/2020,H15,55.8
10/4/2020,H16,65.91
10/4/2020,H17,64.97
10/4/2020,H18,54.98
10/4/2020,H19,47.68
10/4/2020,H20,41.04
10/4/2020,H21,37.11
10/4/2020,H22,53.22
10/4/2020,H23,49.83
10/4/2020,H24,42.03
10/5/2020,H1,14.85
10/5/2020,H2,16.08
10/5/2020,H3,17.97
10/5/2020,H4,24.01
10/5/2020,H5,27.05
10/5/2020,H6,24.56
10/5/2020,H7,21.27
10/5/2020,H8,18.47
10/5/2020,H9,17.73
10/5/2020,H10,16.48
10/5/2020,H11,15.92
10/5/2020,H12,16.1
10/5/2020,H13,16.31
10/5/2020,H14,19.18
10/5/2020,H15,25.82
10/5/2020,H16,31.16
10/5/2020,H17,32.74
10/5/2020,H18,28.68
10/5/2020,H19,25.1
10/5/2020,H20,22.17
10/5/2020,H21,18.29
10/5/2020,H22,18.74
10/5/2020,H23,15.01
10/5/2020,H24,12.92
10/6/2020,H1,21.04
10/6/2020,H2,21.96
10/6/2020,H3,26.85
10/6/2020,H4,31.83
10/6/2020,H5,37.5
10/6/2020,H6,35.07
10/6/2020,H7,32.42
10/6/2020,H8,31.1
10/6/2020,H9,28.59
10/6/2020,H10,27.78
10/6/2020,H11,20.67
10/6/2020,H12,21.56
10/6/2020,H13,23.08
10/6/2020,H14,26.69
10/6/2020,H15,28.89
10/6/2020,H16,31.08
10/6/2020,H17,39.98
10/6/2020,H18,44.99
10/6/2020,H19,36.5
10/6/2020,H20,31.54
10/6/2020,H21,29.14
10/6/2020,H22,16.99
10/6/2020,H23,15.69
10/6/2020,H24,15.55
10/7/2020,H1,8.3
10/7/2020,H2,8.4
10/7/2020,H3,7.05
10/7/2020,H4,8.08
10/7/2020,H5,9.54
10/7/2020,H6,10.15
10/7/2020,H7,8.01
10/7/2020,H8,6.85
10/7/2020,H9,4
10/7/2020,H10,0.53
10/7/2020,H11,0.21
10/7/2020,H12,0.02
10/7/2020,H13,0.2
10/7/2020,H14,0.62
10/7/2020,H15,8.1
10/7/2020,H16,18
10/7/2020,H17,25.99
10/7/2020,H18,48.33
10/7/2020,H19,42.96
10/7/2020,H20,30.31
10/7/2020,H21,21.06
10/7/2020,H22,30.93
10/7/2020,H23,24.76
10/7/2020,H24,21.86
10/8/2020,H1,26.44
10/8/2020,H2,26.3
10/8/2020,H3,28.61
10/8/2020,H4,35.56
10/8/2020,H5,42.68
10/8/2020,H6,43
10/8/2020,H7,38.01
10/8/2020,H8,36
10/8/2020,H9,36.15
10/8/2020,H10,36.2
10/8/2020,H11,34.4
10/8/2020,H12,33.08
10/8/2020,H13,33.09
10/8/2020,H14,33.74
10/8/2020,H15,36.94
10/8/2020,H16,39.09
10/8/2020,H17,43
10/8/2020,H18,44
10/8/2020,H19,41.76
10/8/2020,H20,38.54
10/8/2020,H21,35.63
10/8/2020,H22,17.36
10/8/2020,H23,12.73
10/8/2020,H24,10.26
10/9/2020,H1,28.8
10/9/2020,H2,27.59
10/9/2020,H3,29.41
10/9/2020,H4,34.15
10/9/2020,H5,40.04
10/9/2020,H6,41.16
10/9/2020,H7,40.06
10/9/2020,H8,38.76
10/9/2020,H9,39.01
10/9/2020,H10,38.76
10/9/2020,H11,37.98
10/9/2020,H12,36.95
10/9/2020,H13,35.9
10/9/2020,H14,37
10/9/2020,H15,38.1
10/9/2020,H16,37.77
10/9/2020,H17,39.37
10/9/2020,H18,39.99
10/9/2020,H19,38.91
10/9/2020,H20,37.5
10/9/2020,H21,35.07
10/9/2020,H22,31.76
10/9/2020,H23,29
10/9/2020,H24,27.59
10/10/2020,H1,26.2
10/10/2020,H2,26.07
10/10/2020,H3,29.72
10/10/2020,H4,38.1
10/10/2020,H5,45.97
10/10/2020,H6,51.92
10/10/2020,H7,49.92
10/10/2020,H8,46.04
10/10/2020,H9,48.01
10/10/2020,H10,49.38
10/10/2020,H11,49.6
10/10/2020,H12,48.82
10/10/2020,H13,50.92
10/10/2020,H14,51.24
10/10/2020,H15,55.3
10/10/2020,H16,52.79
10/10/2020,H17,57.16
10/10/2020,H18,59.16
10/10/2020,H19,51.93
10/10/2020,H20,49.38
10/10/2020,H21,40.29
10/10/2020,H22,35.83
10/10/2020,H23,31.09
10/10/2020,H24,29.66
10/11/2020,H1,30.48
10/11/2020,H2,32.32
10/11/2020,H3,38.45
10/11/2020,H4,44.87
10/11/2020,H5,52.65
10/11/2020,H6,55.16
10/11/2020,H7,53.76
10/11/2020,H8,50.01
10/11/2020,H9,49.6
10/11/2020,H10,45.96
10/11/2020,H11,46.47
10/11/2020,H12,43.98
10/11/2020,H13,46.52
10/11/2020,H14,47.63
10/11/2020,H15,51.2
10/11/2020,H16,54.21
10/11/2020,H17,60.8
10/11/2020,H18,54.13
10/11/2020,H19,49.9
10/11/2020,H20,42.24
10/11/2020,H21,35.97
10/11/2020,H22,28.9
10/11/2020,H23,27.99
10/11/2020,H24,27
10/12/2020,H1,26.96
10/12/2020,H2,26.93
10/12/2020,H3,30.37
10/12/2020,H4,34.48
10/12/2020,H5,36.78
10/12/2020,H6,40.43
10/12/2020,H7,43.09
10/12/2020,H8,40.84
10/12/2020,H9,39.47
10/12/2020,H10,38.1
10/12/2020,H11,34.97
10/12/2020,H12,34.48
10/12/2020,H13,37.22
10/12/2020,H14,39.96
10/12/2020,H15,46.66
10/12/2020,H16,69.05
10/12/2020,H17,67.94
10/12/2020,H18,54.36
10/12/2020,H19,42.78
10/12/2020,H20,36.78
10/12/2020,H21,32.69
10/12/2020,H22,35.94
10/12/2020,H23,33.61
10/12/2020,H24,31.08
10/13/2020,H1,34.96
10/13/2020,H2,35.24
10/13/2020,H3,43.26
10/13/2020,H4,56.85
10/13/2020,H5,63.3
10/13/2020,H6,68.41
10/13/2020,H7,61.55
10/13/2020,H8,56.4
10/13/2020,H9,53.16
10/13/2020,H10,52.29
10/13/2020,H11,52.97
10/13/2020,H12,58
10/13/2020,H13,66.78
10/13/2020,H14,73.08
10/13/2020,H15,77.46
10/13/2020,H16,71.91
10/13/2020,H17,65.26
10/13/2020,H18,60.32
10/13/2020,H19,57.55
10/13/2020,H20,53.96
10/13/2020,H21,46.25
10/13/2020,H22,35.99
10/13/2020,H23,31.81
10/13/2020,H24,28.82
10/14/2020,H1,18.36
10/14/2020,H2,20.23
10/14/2020,H3,30.27
10/14/2020,H4,39.41
10/14/2020,H5,45.19
10/14/2020,H6,46.59
10/14/2020,H7,47.07
10/14/2020,H8,45.74
10/14/2020,H9,45.6
10/14/2020,H10,47.51
10/14/2020,H11,45.77
10/14/2020,H12,45.07
10/14/2020,H13,45.03
10/14/2020,H14,48
10/14/2020,H15,47.97
10/14/2020,H16,45.02
10/14/2020,H17,43.32
10/14/2020,H18,38.92
10/14/2020,H19,38.97
10/14/2020,H20,35.34
10/14/2020,H21,29.69
10/14/2020,H22,42.89
10/14/2020,H23,37.97
10/14/2020,H24,35.9
10/15/2020,H1,35.57
10/15/2020,H2,35.97
10/15/2020,H3,40.99
10/15/2020,H4,46.08
10/15/2020,H5,54.37
10/15/2020,H6,56.01
10/15/2020,H7,60.1
10/15/2020,H8,58.17
10/15/2020,H9,58.17
10/15/2020,H10,58.17
10/15/2020,H11,56.02
10/15/2020,H12,58.17
10/15/2020,H13,63.81
10/15/2020,H14,78.35
10/15/2020,H15,77.05
10/15/2020,H16,75.5
10/15/2020,H17,74.77
10/15/2020,H18,72.55
10/15/2020,H19,62.15
10/15/2020,H20,60.71
10/15/2020,H21,50.78
10/15/2020,H22,34.9
10/15/2020,H23,31
10/15/2020,H24,21.49
10/16/2020,H1,26.36
10/16/2020,H2,29.15
10/16/2020,H3,35.04
10/16/2020,H4,44.06
10/16/2020,H5,50.97
10/16/2020,H6,46.28
10/16/2020,H7,44.5
10/16/2020,H8,38.96
10/16/2020,H9,36.96
10/16/2020,H10,35.95
10/16/2020,H11,35.83
10/16/2020,H12,37.99
10/16/2020,H13,39.85
10/16/2020,H14,42.9
10/16/2020,H15,45.6
10/16/2020,H16,48.65
10/16/2020,H17,45.99
10/16/2020,H18,41.64
10/16/2020,H19,40.96
10/16/2020,H20,38.16
10/16/2020,H21,34.9
10/16/2020,H22,47.92
10/16/2020,H23,40.99
10/16/2020,H24,36.74
10/17/2020,H1,18.38
10/17/2020,H2,18.64
10/17/2020,H3,20.93
10/17/2020,H4,25.51
10/17/2020,H5,28.6
10/17/2020,H6,27.14
10/17/2020,H7,26.95
10/17/2020,H8,28.06
10/17/2020,H9,28.92
10/17/2020,H10,29.92
10/17/2020,H11,28.43
10/17/2020,H12,26.95
10/17/2020,H13,27.92
10/17/2020,H14,32.53
10/17/2020,H15,37.52
10/17/2020,H16,43.61
10/17/2020,H17,47.48
10/17/2020,H18,40.67
10/17/2020,H19,32.42
10/17/2020,H20,26.63
10/17/2020,H21,22.54
10/17/2020,H22,34.66
10/17/2020,H23,31.01
10/17/2020,H24,28.11
10/18/2020,H1,23.95
10/18/2020,H2,22.56
10/18/2020,H3,19
10/18/2020,H4,24.99
10/18/2020,H5,23.4
10/18/2020,H6,27.41
10/18/2020,H7,21
10/18/2020,H8,16.45
10/18/2020,H9,14.7
10/18/2020,H10,13.18
10/18/2020,H11,10.03
10/18/2020,H12,8.26
10/18/2020,H13,8.99
10/18/2020,H14,13.38
10/18/2020,H15,18.98
10/18/2020,H16,28.58
10/18/2020,H17,37.17
10/18/2020,H18,42.97
10/18/2020,H19,36.92
10/18/2020,H20,31.06
10/18/2020,H21,27.09
10/18/2020,H22,18.45
10/18/2020,H23,18.64
10/18/2020,H24,17.74
10/19/2020,H1,3.08
10/19/2020,H2,5.57
10/19/2020,H3,10.74
10/19/2020,H4,18.09
10/19/2020,H5,29.49
10/19/2020,H6,26.11
10/19/2020,H7,24.5
10/19/2020,H8,20.65
10/19/2020,H9,21.06
10/19/2020,H10,22.79
10/19/2020,H11,20
10/19/2020,H12,17.66
10/19/2020,H13,19.86
10/19/2020,H14,21
10/19/2020,H15,27.02
10/19/2020,H16,29.86
10/19/2020,H17,32.46
10/19/2020,H18,40
10/19/2020,H19,35.07
10/19/2020,H20,32
10/19/2020,H21,24.94
10/19/2020,H22,34.48
10/19/2020,H23,28.05
10/19/2020,H24,25.92
10/20/2020,H1,26.23
10/20/2020,H2,26.22
10/20/2020,H3,27.93
10/20/2020,H4,34.51
10/20/2020,H5,39.49
10/20/2020,H6,41.48
10/20/2020,H7,38.99
10/20/2020,H8,38.16
10/20/2020,H9,36.85
10/20/2020,H10,35.31
10/20/2020,H11,34.43
10/20/2020,H12,33.45
10/20/2020,H13,33.68
10/20/2020,H14,34.09
10/20/2020,H15,37.57
10/20/2020,H16,39.83
10/20/2020,H17,44.1
10/20/2020,H18,43.26
10/20/2020,H19,39.88
10/20/2020,H20,38
10/20/2020,H21,34.32
10/20/2020,H22,12.39
10/20/2020,H23,7.25
10/20/2020,H24,4
10/21/2020,H1,27.57
10/21/2020,H2,26.55
10/21/2020,H3,25.2
10/21/2020,H4,27.53
10/21/2020,H5,28.88
10/21/2020,H6,29.88
10/21/2020,H7,30.28
10/21/2020,H8,28.94
10/21/2020,H9,28.28
10/21/2020,H10,27.9
10/21/2020,H11,26.9
10/21/2020,H12,25
10/21/2020,H13,25
10/21/2020,H14,27.02
10/21/2020,H15,28.75
10/21/2020,H16,33.89
10/21/2020,H17,37.44
10/21/2020,H18,42.14
10/21/2020,H19,40.88
10/21/2020,H20,36.82
10/21/2020,H21,32.42
10/21/2020,H22,30.8
10/21/2020,H23,28.86
10/21/2020,H24,27.05
10/22/2020,H1,30.93
10/22/2020,H2,30.75
10/22/2020,H3,33.55
10/22/2020,H4,42.3
10/22/2020,H5,50.74
10/22/2020,H6,51.97
10/22/2020,H7,47.95
10/22/2020,H8,44.12
10/22/2020,H9,42.94
10/22/2020,H10,40.52
10/22/2020,H11,39.02
10/22/2020,H12,38.83
10/22/2020,H13,39.44
10/22/2020,H14,40.04
10/22/2020,H15,40.53
10/22/2020,H16,44.39
10/22/2020,H17,45.69
10/22/2020,H18,45.51
10/22/2020,H19,39.48
10/22/2020,H20,36.71
10/22/2020,H21,33.52
10/22/2020,H22,35.05
10/22/2020,H23,31.12
10/22/2020,H24,28.47
10/23/2020,H1,29.58
10/23/2020,H2,28.91
10/23/2020,H3,34.47
10/23/2020,H4,43.1
10/23/2020,H5,50.37
10/23/2020,H6,53.19
10/23/2020,H7,51
10/23/2020,H8,48.95
10/23/2020,H9,47.03
10/23/2020,H10,45.88
10/23/2020,H11,46.26
10/23/2020,H12,41.6
10/23/2020,H13,42.5
10/23/2020,H14,43.96
10/23/2020,H15,46.4
10/23/2020,H16,51.01
10/23/2020,H17,56
10/23/2020,H18,51.75
10/23/2020,H19,44.63
10/23/2020,H20,38.97
10/23/2020,H21,34.01
10/23/2020,H22,37.98
10/23/2020,H23,34.01
10/23/2020,H24,32.41
10/24/2020,H1,12
10/24/2020,H2,12.47
10/24/2020,H3,20.33
10/24/2020,H4,28.15
10/24/2020,H5,30.36
10/24/2020,H6,39.86
10/24/2020,H7,44.8
10/24/2020,H8,44.93
10/24/2020,H9,44.93
10/24/2020,H10,43.05
10/24/2020,H11,41.83
10/24/2020,H12,40.88
10/24/2020,H13,42.03
10/24/2020,H14,50.91
10/24/2020,H15,62.23
10/24/2020,H16,60.44
10/24/2020,H17,58.88
10/24/2020,H18,53.34
10/24/2020,H19,46.09
10/24/2020,H20,42.88
10/24/2020,H21,34.67
10/24/2020,H22,35.84
10/24/2020,H23,33.49
10/24/2020,H24,31.06
10/25/2020,H1,34.68
10/25/2020,H2,35.89
10/25/2020,H3,44.94
10/25/2020,H4,57.05
10/25/2020,H5,68.98
10/25/2020,H6,69.98
10/25/2020,H7,67.71
10/25/2020,H8,57.05
10/25/2020,H9,57.01
10/25/2020,H10,53.35
10/25/2020,H11,53.64
10/25/2020,H12,59.74
10/25/2020,H13,68
10/25/2020,H14,77.24
10/25/2020,H15,80.99
10/25/2020,H16,78.94
10/25/2020,H17,72.03
10/25/2020,H18,63.61
10/25/2020,H19,54.99
10/25/2020,H20,50.99
10/25/2020,H21,44.69
10/25/2020,H22,41.39
10/25/2020,H23,29.27
10/25/2020,H24,18.69
10/26/2020,H1,18.68
10/26/2020,H2,18.68
10/26/2020,H3,20.86
10/26/2020,H4,23.2
10/26/2020,H5,26.3
10/26/2020,H6,29.73
10/26/2020,H7,33.53
10/26/2020,H8,35.47
10/26/2020,H9,36.2
10/26/2020,H10,36.41
10/26/2020,H11,34.64
10/26/2020,H12,33.25
10/26/2020,H13,33.97
10/26/2020,H14,38.62
10/26/2020,H15,43.38
10/26/2020,H16,43.38
10/26/2020,H17,46.85
10/26/2020,H18,46.68
10/26/2020,H19,44.99
10/26/2020,H20,42.99
10/26/2020,H21,35.36
10/26/2020,H22,39.44
10/26/2020,H23,36.29
10/26/2020,H24,35.48
10/27/2020,H1,35.25
10/27/2020,H2,33.5
10/27/2020,H3,36.46
10/27/2020,H4,41.8
10/27/2020,H5,43.69
10/27/2020,H6,43.94
10/27/2020,H7,44.52
10/27/2020,H8,47.14
10/27/2020,H9,45.47
10/27/2020,H10,43.94
10/27/2020,H11,43.34
10/27/2020,H12,45.84
10/27/2020,H13,49
10/27/2020,H14,51.89
10/27/2020,H15,58.04
10/27/2020,H16,61.01
10/27/2020,H17,58.17
10/27/2020,H18,54.97
10/27/2020,H19,50.08
10/27/2020,H20,48.94
10/27/2020,H21,42.3
10/27/2020,H22,28.25
10/27/2020,H23,23.61
10/27/2020,H24,20.53
10/28/2020,H1,22.9
10/28/2020,H2,24.45
10/28/2020,H3,30.73
10/28/2020,H4,40.25
10/28/2020,H5,43.39
10/28/2020,H6,45.08
10/28/2020,H7,41.65
10/28/2020,H8,39.15
10/28/2020,H9,38.5
10/28/2020,H10,36.36
10/28/2020,H11,37.03
10/28/2020,H12,38.05
10/28/2020,H13,40.4
10/28/2020,H14,41.07
10/28/2020,H15,43.19
10/28/2020,H16,46.67
10/28/2020,H17,44.47
10/28/2020,H18,41.61
10/28/2020,H19,36.82
10/28/2020,H20,33.26
10/28/2020,H21,29.01
10/28/2020,H22,43.87
10/28/2020,H23,40.46
10/28/2020,H24,38.71
10/29/2020,H1,18.66
10/29/2020,H2,19.06
10/29/2020,H3,19.91
10/29/2020,H4,25.19
10/29/2020,H5,28.92
10/29/2020,H6,28.04
10/29/2020,H7,27.65
10/29/2020,H8,25.24
10/29/2020,H9,25.2
10/29/2020,H10,26
10/29/2020,H11,24.91
10/29/2020,H12,24.07
10/29/2020,H13,23.76
10/29/2020,H14,24.77
10/29/2020,H15,28.69
10/29/2020,H16,34.53
10/29/2020,H17,34.68
10/29/2020,H18,29.74
10/29/2020,H19,25.67
10/29/2020,H20,24.51
10/29/2020,H21,22.25
10/29/2020,H22,29.15
10/29/2020,H23,24.5
10/29/2020,H24,23.25
10/30/2020,H1,17.96
10/30/2020,H2,18.4
10/30/2020,H3,17.78
10/30/2020,H4,17.8
10/30/2020,H5,17.98
10/30/2020,H6,16.24
10/30/2020,H7,14.78
10/30/2020,H8,12.6
10/30/2020,H9,12.4
10/30/2020,H10,12.4
10/30/2020,H11,9.81
10/30/2020,H12,7.44
10/30/2020,H13,9.91
10/30/2020,H14,15.1
10/30/2020,H15,23.11
10/30/2020,H16,33.93
10/30/2020,H17,39.92
10/30/2020,H18,43.98
10/30/2020,H19,37.8
10/30/2020,H20,34.74
10/30/2020,H21,28.16
10/30/2020,H22,19.92
10/30/2020,H23,19.09
10/30/2020,H24,19.02
10/31/2020,H1,20.45
10/31/2020,H2,20.95
10/31/2020,H3,22
10/31/2020,H4,35.9
10/31/2020,H5,46
10/31/2020,H6,44
10/31/2020,H7,39
10/31/2020,H8,34.9
10/31/2020,H9,34.9
10/31/2020,H10,36.62
10/31/2020,H11,30.07
10/31/2020,H12,26.14
10/31/2020,H13,26.71
10/31/2020,H14,23.98
10/31/2020,H15,28.71
10/31/2020,H16,36.02
10/31/2020,H17,43.99
10/31/2020,H18,52.1
10/31/2020,H19,44.9
10/31/2020,H20,33.77
10/31/2020,H21,25.52
10/31/2020,H22,23.05
10/31/2020,H23,19.69
10/31/2020,H24,18
11/1/2020,H1,24.99
11/1/2020,H2,24.81
11/1/2020,H3,25.41
11/1/2020,H4,33.47
11/1/2020,H5,39.91
11/1/2020,H6,41.3
11/1/2020,H7,39
11/1/2020,H8,36.98
11/1/2020,H9,34.96
11/1/2020,H10,32.38
11/1/2020,H11,30.09
11/1/2020,H12,29.25
11/1/2020,H13,29.65
11/1/2020,H14,31.94
11/1/2020,H15,36.38
11/1/2020,H16,38.86
11/1/2020,H17,43.14
11/1/2020,H18,42.13
11/1/2020,H19,40.07
11/1/2020,H20,38.78
11/1/2020,H21,34.69
11/1/2020,H22,23.06
11/1/2020,H23,21.87
11/1/2020,H24,21.11
11/2/2020,H1,20.03
11/2/2020,H2,20.03
11/2/2020,H3,16.08
11/2/2020,H4,16.81
11/2/2020,H5,19.01
11/2/2020,H6,21.03
11/2/2020,H7,23.14
11/2/2020,H8,24.04
11/2/2020,H9,26.01
11/2/2020,H10,25.34
11/2/2020,H11,21.93
11/2/2020,H12,20.69
11/2/2020,H13,23.24
11/2/2020,H14,27.01
11/2/2020,H15,28.24
11/2/2020,H16,31.6
11/2/2020,H17,35.41
11/2/2020,H18,38.68
11/2/2020,H19,39.44
11/2/2020,H20,36.82
11/2/2020,H21,31.93
11/2/2020,H22,29.29
11/2/2020,H23,26.53
11/2/2020,H24,24.99
11/3/2020,H1,17.75
11/3/2020,H2,18.15
11/3/2020,H3,28.72
11/3/2020,H4,37.38
11/3/2020,H5,42.18
11/3/2020,H6,47.94
11/3/2020,H7,46.37
11/3/2020,H8,46.94
11/3/2020,H9,49.38
11/3/2020,H10,53.11
11/3/2020,H11,52.54
11/3/2020,H12,50.4
11/3/2020,H13,51
11/3/2020,H14,51.3
11/3/2020,H15,53.13
11/3/2020,H16,51.04
11/3/2020,H17,58.06
11/3/2020,H18,59.04
11/3/2020,H19,49
11/3/2020,H20,42.91
11/3/2020,H21,38.32
11/3/2020,H22,29.88
11/3/2020,H23,24.14
11/3/2020,H24,21
11/4/2020,H1,29.79
11/4/2020,H2,29
11/4/2020,H3,29.01
11/4/2020,H4,31.38
11/4/2020,H5,34.35
11/4/2020,H6,39.07
11/4/2020,H7,40.5
11/4/2020,H8,39.26
11/4/2020,H9,38.08
11/4/2020,H10,36.65
11/4/2020,H11,34.26
11/4/2020,H12,32.11
11/4/2020,H13,31.2
11/4/2020,H14,32.08
11/4/2020,H15,35.4
11/4/2020,H16,38.89
11/4/2020,H17,42.77
11/4/2020,H18,39.09
11/4/2020,H19,33.24
11/4/2020,H20,29.02
11/4/2020,H21,24.55
11/4/2020,H22,28.72
11/4/2020,H23,28.21
11/4/2020,H24,22.73
11/5/2020,H1,25.18
11/5/2020,H2,26.5
11/5/2020,H3,31.88
11/5/2020,H4,41.84
11/5/2020,H5,49.46
11/5/2020,H6,50.9
11/5/2020,H7,48.83
11/5/2020,H8,47
11/5/2020,H9,45.57
11/5/2020,H10,45.97
11/5/2020,H11,43.8
11/5/2020,H12,43.3
11/5/2020,H13,45.61
11/5/2020,H14,48.17
11/5/2020,H15,53
11/5/2020,H16,52.6
11/5/2020,H17,49.71
11/5/2020,H18,43.08
11/5/2020,H19,43.04
11/5/2020,H20,42.05
11/5/2020,H21,35.77
11/5/2020,H22,34.6
11/5/2020,H23,32.07
11/5/2020,H24,30.01
11/6/2020,H1,39.92
11/6/2020,H2,41.8
11/6/2020,H3,53.96
11/6/2020,H4,62.18
11/6/2020,H5,75.83
11/6/2020,H6,92.33
11/6/2020,H7,80.23
11/6/2020,H8,69.3
11/6/2020,H9,67.08
11/6/2020,H10,69.09
11/6/2020,H11,66.08
11/6/2020,H12,70.39
11/6/2020,H13,80.05
11/6/2020,H14,92.4
11/6/2020,H15,94.05
11/6/2020,H16,83.85
11/6/2020,H17,77.91
11/6/2020,H18,67.55
11/6/2020,H19,55.96
11/6/2020,H20,55.1
11/6/2020,H21,49.98
11/6/2020,H22,28.3
11/6/2020,H23,27.47
11/6/2020,H24,26.34
11/7/2020,H1,18.13
11/7/2020,H2,17.39
11/7/2020,H3,19.64
11/7/2020,H4,23.59
11/7/2020,H5,28.65
11/7/2020,H6,36.04
11/7/2020,H7,36.23
11/7/2020,H8,36.04
11/7/2020,H9,37.42
11/7/2020,H10,36.73
11/7/2020,H11,29.92
11/7/2020,H12,29.37
11/7/2020,H13,36.59
11/7/2020,H14,45.05
11/7/2020,H15,44.97
11/7/2020,H16,45.08
11/7/2020,H17,48.96
11/7/2020,H18,45.06
11/7/2020,H19,40.1
11/7/2020,H20,33.99
11/7/2020,H21,28.53
11/7/2020,H22,46.91
11/7/2020,H23,42
11/7/2020,H24,39.75
11/8/2020,H1,31.81
11/8/2020,H2,33.32
11/8/2020,H3,40.33
11/8/2020,H4,59.98
11/8/2020,H5,90.05
11/8/2020,H6,99.93
11/8/2020,H7,95.03
11/8/2020,H8,94.16
11/8/2020,H9,100.02
11/8/2020,H10,104.62
11/8/2020,H11,100.02
11/8/2020,H12,100.02
11/8/2020,H13,104.62
11/8/2020,H14,79.12
11/8/2020,H15,85
11/8/2020,H16,73.03
11/8/2020,H17,87.1
11/8/2020,H18,94.16
11/8/2020,H19,55.06
11/8/2020,H20,55.05
11/8/2020,H21,45.95
11/8/2020,H22,33.94
11/8/2020,H23,29
11/8/2020,H24,25.46
11/9/2020,H1,24.61
11/9/2020,H2,25.15
11/9/2020,H3,28.03
11/9/2020,H4,35.11
11/9/2020,H5,40.97
11/9/2020,H6,42.75
11/9/2020,H7,40.14
11/9/2020,H8,38
11/9/2020,H9,38.06
11/9/2020,H10,37.67
11/9/2020,H11,38.61
11/9/2020,H12,39.52
11/9/2020,H13,42.04
11/9/2020,H14,44.41
11/9/2020,H15,47.72
11/9/2020,H16,50.17
11/9/2020,H17,48
11/9/2020,H18,41.27
11/9/2020,H19,36.8
11/9/2020,H20,34.49
11/9/2020,H21,30.02
11/9/2020,H22,35.11
11/9/2020,H23,33.54
11/9/2020,H24,32.7
11/10/2020,H1,18.29
11/10/2020,H2,19.12
11/10/2020,H3,19.68
11/10/2020,H4,23.3
11/10/2020,H5,27.69
11/10/2020,H6,26.21
11/10/2020,H7,25.82
11/10/2020,H8,23.9
11/10/2020,H9,23.27
11/10/2020,H10,22.74
11/10/2020,H11,22.05
11/10/2020,H12,23.77
11/10/2020,H13,25.67
11/10/2020,H14,28.76
11/10/2020,H15,34.37
11/10/2020,H16,40.73
11/10/2020,H17,44.81
11/10/2020,H18,39.88
11/10/2020,H19,32.85
11/10/2020,H20,29.77
11/10/2020,H21,26.04
11/10/2020,H22,28.14
11/10/2020,H23,27.36
11/10/2020,H24,25.48
11/11/2020,H1,22.74
11/11/2020,H2,20.96
11/11/2020,H3,23.72
11/11/2020,H4,34.04
11/11/2020,H5,39.33
11/11/2020,H6,41.29
11/11/2020,H7,35.04
11/11/2020,H8,31.35
11/11/2020,H9,29.79
11/11/2020,H10,28.24
11/11/2020,H11,30.91
11/11/2020,H12,31.49
11/11/2020,H13,33.44
11/11/2020,H14,34.72
11/11/2020,H15,37.18
11/11/2020,H16,40.08
11/11/2020,H17,47.3
11/11/2020,H18,48.51
11/11/2020,H19,40.22
11/11/2020,H20,32.85
11/11/2020,H21,27.76
11/11/2020,H22,20.05
11/11/2020,H23,19.56
11/11/2020,H24,19.07
11/12/2020,H1,19.35
11/12/2020,H2,20.3
11/12/2020,H3,21.73
11/12/2020,H4,28.54
11/12/2020,H5,34.1
11/12/2020,H6,29.68
11/12/2020,H7,24.66
11/12/2020,H8,21.72
11/12/2020,H9,21.17
11/12/2020,H10,20.24
11/12/2020,H11,19
11/12/2020,H12,18.14
11/12/2020,H13,18.49
11/12/2020,H14,19.41
11/12/2020,H15,21.17
11/12/2020,H16,24.62
11/12/2020,H17,30.78
11/12/2020,H18,38.53
11/12/2020,H19,30.22
11/12/2020,H20,24.01
11/12/2020,H21,20.36
11/12/2020,H22,25.63
11/12/2020,H23,24.08
11/12/2020,H24,22.75
11/13/2020,H1,25.57
11/13/2020,H2,24.51
11/13/2020,H3,23.34
11/13/2020,H4,24.51
11/13/2020,H5,26.44
11/13/2020,H6,28.04
11/13/2020,H7,27.54
11/13/2020,H8,25.74
11/13/2020,H9,24.85
11/13/2020,H10,23.57
11/13/2020,H11,21.1
11/13/2020,H12,19.74
11/13/2020,H13,20.24
11/13/2020,H14,22.93
11/13/2020,H15,26.64
11/13/2020,H16,30.89
11/13/2020,H17,34.7
